Token,Item Name,Variation Name,SKU,Description,Category,Price,Option Name 1,Option Value 1,Enabled 1,Current Quantity 1,New Quantity 1,Stock Alert Enabled 1,Stock Alert Count 1,Price 1,Enabled 2,Current Quantity 2,New Quantity 2,Stock Alert Enabled 2,Stock Alert Count 2,Price 2,Enabled 3,Current Quantity 3,New Quantity 3,Stock Alert Enabled 3,Stock Alert Count 3,Price 3,Enabled Warehouse,Current Quantity Warehouse,New Quantity Warehouse,Stock Alert Enabled Warehouse,Stock Alert Count Warehouse,Price Warehouse,Tax - Sales Tax (8.25%),Tax - Sales Tax 2 (8.25%)
FYOAMZI5Y55O4A7IWIIHNFOD,20000 Leguas 750ml,Regular,8437016956236,,Orange Wine,15.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,N
TYL76FBANZNNA2UC6QIIJPJF,21 Seeds Cucumber Jalapeno Tequila 750ml,Regular,850003519005,,Tequila,38.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,11,,,,,Y,N
ZTIS6J7NBV5SJKWY5TL56V5A,21st Amendment Blood Orange Cans 6 Pack,Regular,859612001314,,Craft Beer,11.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,N
IMQFRQATWPMGPPSV4X6ZONRD,21st Amendment Brew Free Cans 6 Pack,Regular,859612001314,,Craft Beer,11.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
5QD22Q7WJOKUNC64J37G6POP,21st Amendment Brew Free IPA Cans 6pk,Regular,859612001031,,Craft Beer,11.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,N
5S6CCKPNKOIX2YGT5LSXBHW4,21st Amendment El Sully Cans 6 Pack,Regular,859612001185,,Craft Beer,11.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N
6WAIEU6HSFLEPSPYDBJ7TR22,21st Amendment Hell or High Watermelon 12-pack,Regular,859612001130,,Craft Beer,19.99,,,Y,2,,,,,Y,2,,,,,Y,0,,,,,Y,0,,,,,Y,N
54JN7HFRGZY6XJR2PM6HEP5N,21st Amendment IPA Cans 6pk,Regular,859612001031,,Craft Beer,11.99,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
DC3YV7PFSLMF4NRNTVHUC6YT,21st Amendment Seasonal Release 6pk Cans,Regular,859612001024,,Craft Beer,11.99,,,Y,1,,Y,0,,Y,3,,,,,Y,0,,,,,Y,0,,,,,Y,Y
YJHHMPDKQMYXBMVV5TYOZJNM,21st Amendment Sparkle Cans 6 Pack,Regular,859612001581,,Craft Beer,11.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,Y
JOE26UIXXGG43B22ZIUOHWYB,22 Pirates Red Blend 750ml,Regular,664228300047,"<p>This wine is influenced by Chateauneuf-du-Pape, a very famous region in France known for heavy-hitting, high-ABV grenache-based red wines. The region allows for 22 grapes, and this includes at least a small portion of each. Big cherry notes, vanilla and spice from oak, with some cola notes hiding in the background for that little extra fun.</p>",Red New World,24.99,,,Y,0,,,,,Y,1,,,,,Y,3,,Y,0,,Y,0,,,,,Y,Y
JPTJWI6NPXOOJX7INKXUCWHR,291 Barrel Proof Bourbon 750ml,Regular,856491003132,,Whiskey Bourbon/American,119.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,Y
OAFNA5AJ4DXMCYDQLG4ZUTWJ,291 Single Barrel Rye 750ml,Regular,856491003057,,Whiskey Rye,89.99,,,Y,0,,,,,Y,1,,Y,0,,Y,0,,,,,Y,0,,,,,Y,Y
LY5V7Q73CKC4PIBPCTHQP6CW,4 Copas Reposado 750ml,Regular,7500326689291,,Tequila,0.00,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,4,,,,,Y,Y
MG7NTENH3G76HEFQGU5G7TMX,400 Conejos Espadin 750ml,Regular,811538013628,,Mezcal,28.99,,,Y,2,,,,,Y,1,,,,,Y,3,,,,,Y,10,,,,,Y,N
ZLBVZQ3N7EQCRLI4G44ZK7FE,42 Below 1L,Regular,080480284312,,Vodka,18.99,,,Y,4,,,,,Y,5,,Y,0,,Y,0,,,,,Y,185,,,,,Y,Y
JHERLBZSHTG2UDQF6OV3BEYX,44 North Potato Vodka 750ml,Regular,833597009688,,Vodka,27.99,,,Y,0,,,,,Y,0,,,,,Y,-2,,,,,Y,0,,,,,Y,Y
WG22RW7MNFTXOR73MILGBYNE,450 North Jungle Juice 16oz Single,Regular,450450420420,,Craft Beer,7.99,,,Y,16,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
PXKZ3AQK4GMTGY7XJBYXYL47,450 North Unicorn Juice 16oz Single,Regular,450450450450,,Craft Beer,7.99,,,Y,13,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
JROJWHVEXCJEQPAQDD3Y3VSR,512 Belgian Style Tripel 4-pack,Regular,852674006228,,Craft Beer,10.99,,,Y,6,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,N,N
FWH3UTSCBDKAPWISICRPE4BZ,512 Cascabel Cream Stout 4pk Bottles,Regular,852674006198,,Craft Beer,10.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,Y
NLWREMPWCUW2WUDJ25MXWINA,512 Citra Summer 6pk Bottles,Regular,852674006389,,Craft Beer,9.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
BYKH7U75VHPBK3CGJDII5R5Y,512 Double Pecan Porter 750ml,Regular,852674006440,,Craft Beer,17.99,,,Y,0,,Y,0,,Y,2,,,,,Y,0,,,,,Y,0,,,,,Y,Y
HZY6W63JDH7YVT22A3RWVB52,512 IPA 6pk Bottles,Regular,852674006068,,Craft Beer,10.99,,,Y,0,,,,,Y,0,,Y,0,,Y,0,,,,,Y,12,,,,,Y,Y
HROAKD6ZWDEXS4HXL3DYRYLM,512 IPA 6pk Cans,Regular,852674006488,,Craft Beer,10.99,,,Y,5,,,,,Y,0,,,,,Y,0,,,,,Y,16,,,,,Y,Y
M5GEE3ADHJ65OTUTJYPP2VTD,512 Juicy IPA 6pk cans,Regular,852674006501,,Craft Beer,10.99,,,Y,3,,,,,Y,0,,,,,Y,0,,,,,Y,24,,,,,Y,Y
HSAFD3PPALL2DP4TAJBVEFRO,512 Local Crush Kolsch 12oz 6pack,Regular,852674006495,,Craft Beer,8.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
3WWF5EYLKQLSPEDKYRJHTDW4,512 Nut Brown 6pk Bottles,Regular,852674006174,,Craft Beer,10.99,,,Y,,,,,,Y,8,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
WMN7X7YBMVAUMF7WFZOAX3BZ,512 Pale 6 Pack Bottles,Regular,852674006150,,Craft Beer,9.99,,,Y,0,,Y,0,,Y,,,,,,Y,2,,,,,Y,0,,,,,Y,N
NL2CWVVL4TJFMUV5LTOIJALL,512 Pecan Porter 4pk Bottles,Regular,852674006044,,Craft Beer,10.99,,,Y,3,,Y,0,,Y,6,,,,,Y,,,,,,Y,12,,,,,Y,Y
XFEZ5Q4AWQMII4TP5PHPQZLM,512 Seasonal 6pk 12oz Cans,Regular,852674006365,,Craft Beer,10.99,,,Y,3,,,,,Y,0,,,,,Y,5,,,,,Y,0,,,,,Y,Y
TBXUPSHUTG5FOA3MHE7WVSWG,512 Smash Mosaic 6 Pack Bottles,Regular,852674006099,,Craft Beer,9.99,,,Y,,,,,,Y,0,,Y,0,,Y,0,,,,,Y,0,,,,,Y,Y
H6GXDP52DXYA44CNWVAPFWVG,512 Wit 6 Pack Bottles,Regular,852674006143,,Craft Beer,9.99,,,Y,8,,,,,Y,3,,,,,Y,0,,Y,0,,Y,4,,,,,Y,Y
ITTZCROKRZVY5YYPQZNBCYXL,512 Young Funkenstein 750ml,Regular,852674006075,,Craft Beer,14.99,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
QLDAUFKCIF5HSQZGKZ436I35,6 O'clock Sloe Gin 750ml,Regular,5060093991710,,Gin,34.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,28,,,,,Y,Y
UN4OXE5VTCGT7C25UTGHPFYB,6 Pack Bike Carrier,Regular,876718036903,,Bag,10.00,,,Y,,,,,,Y,3,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
3FOUG5Y5T4XG7BOMLXWGLN6N,99 Apple Schnapps 50ml,Regular,089000118397,,Liqueur,0.99,,,Y,64,,,,,Y,58,,Y,0,,Y,54,,,,,Y,0,,,,,Y,Y
3RZX4VNU63E5BEATZUT6IEGT,99 Apple Whiskey 50ml,Regular,80660010861,,Liqueur,0.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
4NZ6GH45RH5VEH7ILFOFE6MK,99 Bananas 1L,Regular,080660620039,,Liqueur,21.99,,,Y,,,,,,Y,,,,,,Y,0,,,,,Y,12,,,,,Y,N
JS6LLDXDBYTK4A77QW77CTWI,99 Bananas 50ml,Regular,080660620992,,Liqueur,0.99,,,Y,110,,Y,0,,Y,81,,,,,Y,81,,,,,Y,0,,,,,Y,Y
FZ2MV4333XSNP6IAAERJSS76,99 Bananas 750ml,Regular,080660620053,,Liqueur,18.99,,,Y,0,,,,,Y,1,,,,,Y,2,,,,,Y,7,,,,,Y,Y
KHXUZFO6Q2MUIMJTWIXROBY3,99 Cherry Limeade 50ml,Regular,088004045418,,Liqueur,0.99,,,Y,0,,,,,Y,87,,,,,Y,71,,,,,Y,0,,,,,Y,Y
L3OSJQ3RKXDCRAKSQJPNYB2D,99 Chocolate 50ml,Regular,088004045425,,Liqueur,0.99,,,Y,0,,,,,Y,0,,,,,Y,3,,,,,Y,0,,,,,Y,Y
HCV6V5227HZ7XOTOIGXRVVUA,99 Fruit Punch 50ml,Regular,088004045456,,Liqueur,0.99,,,Y,0,,,,,Y,5,,,,,Y,87,,,,,Y,0,,,,,Y,Y
DXQSVJCD2YSE6UW24O7O26VV,99 Guava 50ml,Regular,088004045449,,Liqueur,0.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
BJ66VSCNJ3LWXZ6ISZR72SB2,99 Mystery Flavor 50ml,Regular,088004045432,,Liqueur,0.99,,,Y,0,,,,,Y,0,,,,,Y,2,,,,,Y,0,,,,,Y,Y
P3Q55ECBDGAERJHFUIH5NEC3,99 Party Bucket 50ml,Regular,088004034221,,Liqueur,16.99,,,Y,6,,,,,Y,4,,Y,0,,Y,4,,,,,Y,0,,,,,Y,Y
FB5NBYX3JCONHS6IYUXO3HBO,Abasolo Corn Whisky 50ml,Regular,7503027709251,,Whiskey Mexican,3.99,,,Y,53,,,,,Y,3,,,,,Y,9,,,,,Y,0,,,,,Y,Y
XKTBSZ4VMZ5UXPICLBCZOK7C,Abasolo Corn Whisky 750ml,Regular,7503027709077,,Whiskey Mexican,42.99,,,Y,3,,,,,Y,0,,,,,Y,6,,Y,0,,Y,26,,,,,Y,N
7P2VNC37LFEMIIFP6B6XC65T,Aberfeldy 12y 750ml,Regular,080480220006,,Whiskey Scotch,43.99,,,Y,6,,,,,Y,4,,Y,0,,Y,3,,,,,Y,17,,,,,Y,Y
GOYJYUBEOCRVAIOSASZS56YJ,Aberfeldy 16y 750ml,Regular,080480006167,,Whiskey Scotch,114.99,,,Y,3,,Y,0,,Y,2,,,,,Y,2,,,,,Y,0,,,,,Y,Y
STFISWYIVJIR6DTBOAB67FOD,Aberfeldy 18y Exceptional Cask Series 750ml,Regular,080480984984,,Whiskey Scotch,214.99,,,Y,1,,Y,0,,Y,1,,,,,Y,0,,,,,Y,0,,,,,Y,Y
TG2EAKDCMRDBACZPT6I37ATK,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Regular,080480986032,,Whiskey Scotch,119.99,,,Y,,,,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,Y
FQ767AJ7EWRB75FYJ64PAVN7,Aberfeldy 20y Exceptional Cask Series 750ml,Regular,080480985929,,Whiskey Scotch,185.99,,,Y,,,,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,Y
RCHIAIYGTZKU4KWVWQINAI7I,Aberfeldy 21y 750ml,Regular,080480220013,,Whiskey Scotch,179.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
QDMJKVG4B26SK72K3GYTJALW,Aberlour 12y 750ml,Regular,080432102145,,Whiskey Scotch,63.99,,,Y,2,,,,,Y,4,,,,,Y,7,,Y,0,,Y,7,,,,,Y,Y
AIHONID7CHJ67L5OSF7FWSJJ,Aberlour 16y 750ml,Regular,080432102169,,Whiskey Scotch,102.99,,,Y,5,,,,,Y,3,,Y,0,,Y,0,,,,,Y,3,,,,,Y,Y
2GAYUFYJQMRFWWLDHGVKUTNK,Aberlour A'bunadh Alba 750ml,Regular,080432114612,,Whiskey Scotch,118.99,,,Y,0,,,,,Y,,,,,,Y,2,,Y,0,,Y,0,,,,,Y,N
G3Q55ERJ5ARN4WOKV336IE6X,Aberlour Abunadh 750ml,Regular,080432516171,,Whiskey Scotch,109.99,,,Y,2,,,,,Y,3,,,,,Y,0,,Y,0,,Y,4,,,,,Y,Y
EAQR2XJK3UAJ7XISYAGGRWNF,Abraham Bowman Pioneer Spirit 750ml,Regular,080996002745,,Whiskey Bourbon/American,79.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,1,,,,,Y,Y
EQSZJED2KQIWQQTXQVWUAR4O,Absinthe 4 Leg Brouilleur,Regular,12301230,,Bar Tools,29.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
ID5DRTJRRG2TXVOVR6OOSUU2,Absinthe Brouilleur 3 Hole,Regular,12161216,,Bar Tools,14.00,,,Y,2,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
WZ44EHKFJMJ6SR5TU4NGLYGC,Absinthe Fountain 2 Spout,Regular,13021302,,Bar Tools,189.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
QRFAMN3EEXLFNHH7EV5A7TMF,Absinthe Fountain 2 Spout Lady Wings,Regular,13221322,,Bar Tools,189.99,,,Y,0,,,,,Y,0,,,,,Y,0,,Y,0,,Y,0,,,,,Y,Y
LE35EJJGG4QARC5CJC5RW2LG,Absinthe Fountain 4 Spout,Regular,13041304,,Bar Tools,199.99,,,Y,,,,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,Y
IXH3JC76FUAP4U7XSEIR5T6T,Absinthe Fountain 4 Spout Lady,Regular,13241324,,Bar Tools,249.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
4DNIWVNIPI2TYV35HPFPESSU,Absinthe Fountain 4 Spout Rooster,Regular,1234500000004,,Bar Tools,229.99,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
SXUP3HRWPIJDEOX2VXQ6OIJI,Absinthe Fountain 6 Spout Lady,Regular,1234500000005,,Bar Tools,259.00,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
MZQ73ZB3S2H37I3TVLDSZLQB,Absinthe Fountain 6 Spout Rooster,Regular,13061306,,Bar Tools,259.00,,,Y,1,,Y,0,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
TFOCTYV66VB7ME5P6WHVD2Z3,Absinthe Fountain Glass 4 Spout,Regular,13741374,,Bar Tools,64.99,,,Y,,,,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,Y
SAJZ4VT7LCZD5JKANWD237BK,Absinthe Fountain Glass Double 1 Spout,Regular,13811381,,Bar Tools,64.99,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
BNZSOX2PNDEUBKD6YPVTZBO4,Absinthe Fountain Twisted Glass 2 Spout,Regular,13761376,,Bar Tools,64.99,,,Y,,,,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
LHZ75LUM3QKZKGTFIFEVYH25,Absinthe Glass Coupe,Regular,14651465,,Glassware,12.00,,,Y,1,,,,,Y,1,,,,,Y,0,,Y,0,,Y,0,,,,,Y,Y
WX5FCQQQPPAVOICZSRTYKK2B,Absinthe Glass Lyon,Regular,14601460,,Glassware,14.00,,,Y,2,,Y,0,,Y,,,,,,Y,0,,,,,Y,0,,,,,Y,N
DKROCTXSET5BMSLSE4EZGS4P,Absinthe Glass Pontarlier,Regular,14301430,,Glassware,12.00,,,Y,1,,,,,Y,3,,Y,0,,Y,,,,,,Y,0,,,,,Y,Y
ANKCPCWFU2ECSNE6IKYTFOR5,Absinthe Glass Torsade,Regular,14701470,,Glassware,12.00,,,Y,4,,,,,Y,3,,,,,Y,8,,Y,0,,Y,0,,,,,Y,Y
JCVWTZC5YQIBVPQBYMAUFAFW,Absinthe Ordinaire Liqueur 92 Proof 750ml,Regular,689768241001,,Absinthe,19.99,,,Y,0,,,,,Y,1,,,,,Y,0,,,,,Y,8,,,,,Y,Y
KSJEAEHMJ7TMLCIXA7CACUPY,Absinthe Ordinaire Reserve 129 Proof 750ml,Regular,689768241018,,Absinthe,39.99,,,Y,0,,,,,Y,5,,,,,Y,0,,,,,Y,0,,,,,Y,Y
P7YMWVPFH3OLD3SNVXDMOGRO,Absinthe Saucer Blue,Regular,123464,,Bar Tools,9.00,,,Y,2,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
TG3YGVKW67W7SY5OB7IYU4E5,Absinthe Saucer Lavender,Regular,1234500000008,,Bar Tools,9.00,,,Y,0,,,,,Y,0,,,,,Y,2,,,,,Y,0,,,,,Y,Y
UGK65AKEBGGMPYP572BLIIKQ,Absinthe Saucer Yellow,Regular,1234500000009,,Bar Tools,9.00,,,Y,4,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
62PS75ID65ZVMEJH6EI5X2LC,Absinthe Spoon,Regular,10031003,,Bar Tools,10.00,,,Y,0,,,,,Y,,,,,,Y,5,,Y,0,,Y,0,,,,,Y,N
LW224H4PMPCXS3ZAWHUVOCTZ,Absinthe Spoon Holder,Regular,15201520,,Bar Tools,59.99,,,Y,,,,,,Y,1,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
4PKWYUPEVL7BELKSMVCN2XCB,Absinthe Sugar Cubes (20pack),Regular,859868004619,,Garnish,4.00,,,Y,0,,,,,Y,,,,,,Y,,,,,,Y,0,,,,,Y,N
LK5Z45G77DOGRLFEWSHTGAVB,Absinthe Sugar Cubes (2pack),Regular,1234500000011,,Garnish,0.50,,,Y,618,,,,,Y,534,,,,,Y,33,,Y,0,,Y,0,,,,,Y,Y
I6WLGMMMIHKLTLWHAH27FOZJ,Absolut Apeach 1L,Regular,835229001145,,Vodka,29.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,24,,,,,Y,Y
RBWSF5POPWMEH2WJBB46JQLO,Absolut Citron 1L,Regular,835229001404,,Vodka,29.99,,,Y,0,,,,,Y,11,,,,,Y,0,,Y,0,,Y,18,,,,,Y,N
UZIAYJKSIL6N4NVDG5MXHNGG,Absolut Elyx 1L,Regular,835229000728,,Vodka,45.99,,,Y,0,,,,,Y,2,,,,,Y,0,,,,,Y,17,,,,,Y,Y
NJ4INI265HQV5NFPSEJCG5BG,Absolut Elyx 750ml,Regular,835229000711,,Vodka,37.99,,,Y,1,,,,,Y,,,,,,Y,2,,,,,Y,0,,,,,Y,Y
BOL6Y2OWZIXUT3SJ5LO3IAQ6,Absolut Grapefruit 750ml,Regular,835229010437,,Vodka,22.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,3,,,,,Y,Y
5FRQUETPTNJOHKESCLJEBTJY,Absolut Juice Apple 1L,Regular,835229010802,,Vodka,29.99,,,Y,0,,,,,Y,5,,,,,Y,0,,,,,Y,0,,,,,Y,Y
VAJUFWLRI666JVLWLXME6XNB,Absolut Juice Pear & Elderflower 1L,Regular,835229010840,,Vodka,29.99,,,Y,0,,,,,Y,1,,,,,Y,0,,Y,0,,Y,0,,,,,Y,Y
AXKDPGFPYUT2O64ADGN5M72E,Absolut Juice Pear & Elderflower 750ml,Regular,835229010833,,Vodka,24.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
DP7BKT5MLEIJFKP2CU2O3YO4,Absolut Juice Strawberry 1L,Regular,835229010819,,Vodka,29.99,,,Y,0,,Y,0,,Y,0,,,,,Y,0,,,,,Y,36,,,,,Y,Y
MDIMRPQZF5H7X7ZFHC2D5XWF,Absolut Lime 1L,Regular,835229010284,,Vodka,29.99,,,Y,0,,,,,Y,12,,,,,Y,0,,,,,Y,12,,,,,Y,N
HUPOF46M5VPT4XMOGZ36AMIR,Absolut Pears 1L,Regular,835229001343,,Vodka,29.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,7,,,,,Y,Y
HGQOZQ5SEMICTRUF7DPUZVQF,Absolut Pride 1L,Regular,835229010116,,Vodka,29.99,,,Y,0,,,,,Y,12,,,,,Y,2,,,,,Y,37,,,,,Y,Y
TQAJZCQ3LQO7YZOE7D5DZYY2,Absolut Raspberri 1L,Regular,835229008403,,Vodka,29.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,12,,,,,Y,N
